target,feature_mode,change,config,test_MSE_norm
NOx,none,width,1L x 5,0.001297
NOx,none,width,1L x 10,0.000652
NOx,none,width,1L x 20,0.000736
NOx,none,width,1L x 50,0.000560
NOx,none,width,1L x 100,0.000518
NOx,none,depth,1 layer (50),0.000597
NOx,none,depth,2 layers (50->50),0.000696
NOx,none,depth,3 layers (50->50->50),0.000759
Fuel_Consumption,none,width,1L x 5,0.000124
Fuel_Consumption,none,width,1L x 10,0.000096
Fuel_Consumption,none,width,1L x 20,0.000041
Fuel_Consumption,none,width,1L x 50,0.000047
Fuel_Consumption,none,width,1L x 100,0.000033
Fuel_Consumption,none,depth,1 layer (50),0.000082
Fuel_Consumption,none,depth,2 layers (50->50),0.000033
Fuel_Consumption,none,depth,3 layers (50->50->50),0.000050
NOx,poly,width,1L x 5,0.004791
NOx,poly,width,1L x 10,0.000868
NOx,poly,width,1L x 20,0.000626
NOx,poly,width,1L x 50,0.001040
NOx,poly,width,1L x 100,0.001275
NOx,poly,depth,1 layer (50),0.002624
NOx,poly,depth,2 layers (50->50),0.001136
NOx,poly,depth,3 layers (50->50->50),0.000691
Fuel_Consumption,poly,width,1L x 5,0.000050
Fuel_Consumption,poly,width,1L x 10,0.000040
Fuel_Consumption,poly,width,1L x 20,0.000041
Fuel_Consumption,poly,width,1L x 50,0.000057
Fuel_Consumption,poly,width,1L x 100,0.000063
Fuel_Consumption,poly,depth,1 layer (50),0.000050
Fuel_Consumption,poly,depth,2 layers (50->50),0.000032
Fuel_Consumption,poly,depth,3 layers (50->50->50),0.000044
NOx,gplearn,width,1L x 5,0.001609
NOx,gplearn,width,1L x 10,0.000862
NOx,gplearn,width,1L x 20,0.000508
NOx,gplearn,width,1L x 50,0.000800
NOx,gplearn,width,1L x 100,0.001071
NOx,gplearn,depth,1 layer (50),0.001081
NOx,gplearn,depth,2 layers (50->50),0.001085
NOx,gplearn,depth,3 layers (50->50->50),0.000703
Fuel_Consumption,gplearn,width,1L x 5,0.000057
Fuel_Consumption,gplearn,width,1L x 10,0.000048
Fuel_Consumption,gplearn,width,1L x 20,0.000050
Fuel_Consumption,gplearn,width,1L x 50,0.000039
Fuel_Consumption,gplearn,width,1L x 100,0.000079
Fuel_Consumption,gplearn,depth,1 layer (50),0.000057
Fuel_Consumption,gplearn,depth,2 layers (50->50),0.000036
Fuel_Consumption,gplearn,depth,3 layers (50->50->50),0.000044
